1,2,3,4,5,Cluster_List
10,0.1,0.006,2.118922783,10,"[1138, 1250, 1251, 1252, 1302, 1303, 1353, 1354, 1675, 1784]"
10,0.25,0.006,2.118922783,10,"[1138, 1250, 1251, 1252, 1302, 1303, 1353, 1354, 1675, 1784]"
10,0.5,0.006,2.118922783,10,"[1138, 1250, 1251, 1252, 1302, 1303, 1353, 1354, 1675, 1784]"
10,0.75,0.006,1.704908642,10,"[1101, 1138, 1200, 1250, 1251, 1252, 1300, 1302, 1676, 1784]"
10,1,0.006,0.319551614,5,"[1137, 1138, 1734, 1735, 1784]"
20,0.1,0.006,2.626511821,20,"[417, 1008, 1062, 1072, 1101, 1138, 1200, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1514, 1675, 1676, 1784, 1816]"
20,0.25,0.006,2.591706693,20,"[417, 775, 1008, 1062, 1101, 1138, 1200, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1514, 1675, 1676, 1784, 1816]"
20,0.5,0.006,2.484331005,20,"[706, 1008, 1101, 1138, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1675, 1676, 1734, 1735, 1784, 1816]"
20,0.75,0.006,1.761237521,18,"[706, 1101, 1137, 1138, 1151, 1152, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1676, 1725, 1734, 1735, 1784]"
20,1,0.006,0.319551614,5,"[1137, 1138, 1734, 1735, 1784]"
25,0.1,0.006,2.710295005,25,"[378, 417, 775, 1008, 1062, 1072, 1101, 1138, 1200, 1201, 1250, 1251, 1252, 1268, 1300, 1302, 1303, 1353, 1354, 1367, 1514, 1675, 1676, 1784, 1816]"
25,0.25,0.006,2.651299345,25,"[417, 706, 775, 1008, 1062, 1101, 1123, 1138, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1514, 1570, 1675, 1676, 1734, 1784, 1816]"
25,0.5,0.006,2.493534025,24,"[706, 1008, 1101, 1137, 1138, 1151, 1152, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1675, 1676, 1725, 1734, 1735, 1784, 1816]"
25,0.75,0.006,1.761237521,18,"[706, 1101, 1137, 1138, 1151, 1152, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1676, 1725, 1734, 1735, 1784]"
25,1,0.006,0.319551614,5,"[1137, 1138, 1734, 1735, 1784]"
50,0.1,0.006,2.835649554,50,"[27, 80, 329, 378, 417, 525, 567, 617, 667, 706, 717, 718, 775, 1008, 1013, 1020, 1021, 1022, 1062, 1063, 1071, 1072, 1101, 1123, 1137, 1138, 1151, 1200, 1201, 1208, 1214, 1250, 1251, 1252, 1268, 1300, 1302, 1303, 1318, 1353, 1354, 1367, 1514, 1570, 1675, 1676, 1734, 1735, 1784, 1816]"
50,0.25,0.006,2.680563189,36,"[417, 467, 567, 706, 775, 1008, 1013, 1062, 1063, 1101, 1123, 1137, 1138, 1151, 1152, 1200, 1201, 1208, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1470, 1514, 1570, 1675, 1676, 1725, 1734, 1735, 1784, 1816]"
50,0.5,0.006,2.493534025,24,"[706, 1008, 1101, 1137, 1138, 1151, 1152, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1675, 1676, 1725, 1734, 1735, 1784, 1816]"
50,0.75,0.006,1.761237521,18,"[706, 1101, 1137, 1138, 1151, 1152, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1676, 1725, 1734, 1735, 1784]"
50,1,0.006,0.319551614,5,"[1137, 1138, 1734, 1735, 1784]"
